date,food_cos,beverage_cos,wine_cos,liquor_cos,beer_cos,total_cos
2012-02-29,557.0,0.0,513.0,0.0,0.0,1070.0
2012-03-01,430.0,0.0,993.0,0.0,0.0,1423.0
2012-03-02,181.0,0.0,0.0,0.0,0.0,181.0
2012-03-03,717.0,3.0,503.0,0.0,0.0,1223.0
2012-03-04,322.0,29.0,0.0,0.0,0.0,351.0
2012-03-05,3.0,11.0,0.0,0.0,0.0,14.0
2012-03-06,1662.0,0.0,1414.0,0.0,0.0,3076.0
2012-03-07,480.0,0.0,1329.0,0.0,0.0,1809.0
2012-03-08,431.0,0.0,194.0,0.0,0.0,625.0
2012-03-09,772.0,113.0,1170.0,0.0,0.0,2055.0
2012-03-10,1808.0,0.0,1290.0,0.0,0.0,3098.0
2012-03-13,24.0,6.0,0.0,0.0,0.0,30.0
2012-03-14,492.0,0.0,0.0,0.0,0.0,492.0
2012-03-15,1186.0,0.0,1064.0,441.0,409.0,3100.0
2012-03-16,1493.0,30.0,473.0,726.0,45.0,2767.0
2012-03-18,77.0,0.0,-43.0,0.0,0.0,34.0
2012-03-21,1327.0,0.0,2456.0,182.0,216.0,4181.0
2012-03-22,0.0,0.0,1873.0,0.0,0.0,1873.0
2012-03-23,2611.0,0.0,0.0,326.0,210.0,3147.0
2012-03-26,1283.0,19.0,0.0,153.0,338.0,1793.0
2012-03-28,91.0,0.0,0.0,0.0,0.0,91.0
2012-03-29,923.0,11.0,1995.0,0.0,341.0,3270.0
2012-03-30,112.0,38.0,415.0,0.0,0.0,565.0
2012-03-31,0.0,13.0,0.0,0.0,0.0,13.0
2012-04-01,67.0,17.0,0.0,50.0,0.0,134.0
2012-04-02,364.0,0.0,0.0,0.0,0.0,364.0
2012-04-03,2784.0,9.0,476.0,384.0,0.0,3653.0
2012-04-04,0.0,3.0,0.0,0.0,0.0,3.0
2012-04-05,1634.0,0.0,1530.0,322.0,0.0,3486.0
2012-04-07,160.0,0.0,0.0,0.0,0.0,160.0
2012-04-10,1604.0,0.0,363.0,182.0,140.0,2289.0
2012-04-11,506.0,70.0,946.0,0.0,0.0,1522.0
2012-04-12,449.0,0.0,515.0,0.0,0.0,964.0
2012-04-13,480.0,0.0,0.0,0.0,0.0,480.0
2012-04-14,487.0,18.0,0.0,0.0,0.0,505.0
2012-04-15,94.0,34.0,0.0,285.0,338.0,751.0
2012-04-17,971.0,0.0,0.0,0.0,0.0,971.0
2012-04-18,563.0,0.0,0.0,0.0,234.0,797.0
2012-04-19,564.0,0.0,158.0,0.0,0.0,722.0
