Date,Account,Debit,Credit
01-02-14,Food Sales,,3539
02-02-14,Food Sales,,1490
03-02-14,Food Sales,,960
04-02-14,Food Sales,,830
05-02-14,Food Sales,,911
07-02-14,Food Sales,,1369
07-02-14,Food Sales,,2693
08-02-14,Food Sales,,4153
09-02-14,Food Sales,,1782
10-02-14,Food Sales,,755
11-02-14,Food Sales,,1113
12-02-14,Food Sales,,1618
13-02-14,Food Sales,,2307
14-02-14,Food Sales,,7861
15-02-14,Food Sales,,4179
16-02-14,Food Sales,,2145
17-02-14,Food Sales,,1979
18-02-14,Food Sales,,1023
19-02-14,Food Sales,,756
20-02-14,Food Sales,,1450
21-02-14,Food Sales,,2870
22-02-14,Food Sales,,3631
23-02-14,Food Sales,,1674
24-02-14,Food Sales,,511
25-02-14,Food Sales,,498
26-02-14,Food Sales,,1402
27-02-14,Food Sales,,1224
28-02-14,Food Sales,,3281
01-03-14,Food Sales,,4008
02-03-14,Food Sales,,1067
03-03-14,Food Sales,,957
04-03-14,Food Sales,,1039
05-03-14,Food Sales,,1009
06-03-14,Food Sales,,1228
07-03-14,Food Sales,,4550
08-03-14,Food Sales,,2751
09-03-14,Food Sales,,1825
10-03-14,Food Sales,,1712
11-03-14,Food Sales,,773
12-03-14,Food Sales,,960
13-03-14,Food Sales,,1947
14-03-14,Food Sales,,3038
15-03-14,Food Sales,,3929
16-03-14,Food Sales,,995
17-03-14,Food Sales,,787
18-03-14,Food Sales,,1794
19-03-14,Food Sales,,1198
20-03-14,Food Sales,,1197
21-03-14,Food Sales,,2827
22-03-14,Food Sales,,3271
23-03-14,Food Sales,,1055
24-03-14,Food Sales,,1274
25-03-14,Food Sales,,1276
26-03-14,Food Sales,,1965
27-03-14,Food Sales,,2114
28-03-14,Food Sales,,3021
29-03-14,Food Sales,,4331
30-03-14,Food Sales,,1437
