date,food_sales,beverage_sales,wine_sales,liquor_sales,beer_sales,total_sales,date,dow
2012-05-04,4052.0,226.0,2293.0,374.0,188.0,7133.0,2012-05-04,Fri
2012-05-05,5074.0,167.0,2613.0,590.0,128.0,8572.0,2012-05-05,Sat
2012-05-06,2250.0,131.0,817.0,46.0,96.0,3340.0,2012-05-06,Sun
2012-05-08,2751.0,107.0,2071.0,145.0,65.0,5139.0,2012-05-08,Tue
2012-05-09,2774.0,154.0,1249.0,131.0,38.0,4346.0,2012-05-09,Wed
2012-05-10,2409.0,90.0,1360.0,184.0,39.0,4082.0,2012-05-10,Thu
2012-05-11,4832.0,322.0,2131.0,256.0,155.0,7696.0,2012-05-11,Fri
2012-05-12,4712.0,311.0,1710.0,572.0,189.0,7494.0,2012-05-12,Sat
2012-05-13,6155.0,414.0,1919.0,226.0,247.0,8961.0,2012-05-13,Sun
2012-05-15,2788.0,157.0,1106.0,113.0,61.0,4225.0,2012-05-15,Tue
2012-05-16,2595.0,134.0,1021.0,161.0,153.0,4064.0,2012-05-16,Wed
2012-05-17,2452.0,124.0,1872.0,192.0,68.0,4708.0,2012-05-17,Thu
2012-05-18,4247.0,236.0,1815.0,380.0,161.0,6839.0,2012-05-18,Fri
2012-05-19,4784.0,430.0,2299.0,618.0,181.0,8312.0,2012-05-19,Sat
2012-05-20,4080.0,353.0,1606.0,292.0,229.0,6560.0,2012-05-20,Sun
2012-05-22,1412.0,62.0,777.0,48.0,47.0,2346.0,2012-05-22,Tue
2012-05-23,2986.0,144.0,1546.0,96.0,155.0,4927.0,2012-05-23,Wed
2012-05-24,3163.0,206.0,1942.0,112.0,74.0,5497.0,2012-05-24,Thu
2012-05-25,4411.0,160.0,2233.0,435.0,229.0,7468.0,2012-05-25,Fri
2012-05-26,6863.0,471.0,3686.0,715.0,233.0,11968.0,2012-05-26,Sat
2012-05-27,4035.0,294.0,1780.0,216.0,201.0,6526.0,2012-05-27,Sun
2012-05-29,2515.0,152.0,1144.0,150.0,130.0,4091.0,2012-05-29,Tue
2012-05-30,2152.0,114.0,814.0,60.0,87.0,3227.0,2012-05-30,Wed
2012-05-31,3916.0,166.0,2020.0,409.0,411.0,6922.0,2012-05-31,Thu
2012-06-01,2966.0,202.0,1673.0,275.0,128.0,5244.0,2012-06-01,Fri
2012-06-02,5467.0,323.0,3039.0,549.0,88.0,9466.0,2012-06-02,Sat
2012-06-03,4067.0,317.0,1806.0,163.0,150.0,6503.0,2012-06-03,Sun
2012-06-04,7.0,-0.0,-0.0,-0.0,14.0,21.0,2012-06-04,Mon
2012-06-05,2529.0,87.0,1407.0,138.0,82.0,4243.0,2012-06-05,Tue
2012-06-06,3412.0,207.0,2360.0,170.0,74.0,6223.0,2012-06-06,Wed
2012-06-07,3613.0,239.0,1989.0,384.0,101.0,6326.0,2012-06-07,Thu
2012-06-08,4769.0,273.0,2609.0,801.0,195.0,8647.0,2012-06-08,Fri
2012-06-09,5513.0,395.0,2217.0,622.0,195.0,8942.0,2012-06-09,Sat
2012-06-10,2888.0,199.0,969.0,209.0,127.0,4392.0,2012-06-10,Sun
2012-06-12,3470.0,238.0,1752.0,224.0,127.0,5811.0,2012-06-12,Tue
2012-06-13,3384.0,183.0,1488.0,392.0,127.0,5574.0,2012-06-13,Wed
2012-06-14,3998.0,159.0,2289.0,273.0,128.0,6847.0,2012-06-14,Thu
2012-06-15,5469.0,265.0,2278.0,591.0,255.0,8858.0,2012-06-15,Fri
2012-06-16,5605.0,298.0,2710.0,566.0,222.0,9401.0,2012-06-16,Sat
2012-06-17,3570.0,275.0,931.0,216.0,148.0,5140.0,2012-06-17,Sun
2012-06-18,2250.0,-0.0,3060.0,-0.0,-0.0,5310.0,2012-06-18,Mon
2012-06-19,2681.0,105.0,1503.0,178.0,67.0,4534.0,2012-06-19,Tue
2012-06-20,2826.0,262.0,1451.0,229.0,94.0,4862.0,2012-06-20,Wed
2012-06-21,4753.0,209.0,2729.0,350.0,140.0,8181.0,2012-06-21,Thu
2012-06-22,5202.0,343.0,2990.0,519.0,180.0,9234.0,2012-06-22,Fri
2012-06-23,4726.0,280.0,1696.0,680.0,310.0,7692.0,2012-06-23,Sat
2012-06-24,3201.0,218.0,1375.0,293.0,134.0,5221.0,2012-06-24,Sun
2012-06-26,3158.0,175.0,2273.0,123.0,74.0,5803.0,2012-06-26,Tue
2012-06-27,3023.0,117.0,1872.0,292.0,168.0,5472.0,2012-06-27,Wed
2012-06-28,2953.0,134.0,1316.0,440.0,47.0,4890.0,2012-06-28,Thu
2012-06-29,4510.0,358.0,2021.0,490.0,166.0,7545.0,2012-06-29,Fri
2012-06-30,4845.0,200.0,2362.0,664.0,161.0,8232.0,2012-06-30,Sat
2012-07-01,2140.0,144.0,703.0,238.0,135.0,3360.0,2012-07-01,Sun
2012-07-03,2032.0,110.0,1248.0,226.0,47.0,3663.0,2012-07-03,Tue
2012-07-04,2198.0,83.0,979.0,266.0,234.0,3760.0,2012-07-04,Wed
2012-07-05,3625.0,186.0,1405.0,643.0,364.0,6223.0,2012-07-05,Thu
2012-07-06,4375.0,249.0,1541.0,720.0,168.0,7053.0,2012-07-06,Fri
2012-07-07,4656.0,228.0,2427.0,353.0,114.0,7778.0,2012-07-07,Sat
2012-07-08,2200.0,141.0,795.0,365.0,175.0,3676.0,2012-07-08,Sun
2012-07-10,2908.0,139.0,1487.0,292.0,60.0,4886.0,2012-07-10,Tue
2012-07-11,4034.0,256.0,2306.0,433.0,301.0,7330.0,2012-07-11,Wed
2012-07-12,3554.0,250.0,1884.0,412.0,302.0,6402.0,2012-07-12,Thu
2012-07-13,4906.0,278.0,2721.0,430.0,115.0,8450.0,2012-07-13,Fri
2012-07-14,3951.0,265.0,2106.0,561.0,290.0,7173.0,2012-07-14,Sat
2012-07-15,2607.0,178.0,930.0,236.0,68.0,4019.0,2012-07-15,Sun
2012-07-17,2113.0,117.0,1040.0,189.0,142.0,3601.0,2012-07-17,Tue
2012-07-18,3672.0,269.0,2173.0,185.0,95.0,6394.0,2012-07-18,Wed
